FirstName,President,Date,delivery,nwords,type,filename,party
Andrew,Johnson,"December 9, 1868",written,9834,SOTU,su1868.txt,Republican
Ulysses S.,Grant,"December 6, 1869",written,7706,SOTU,su1869.txt,Republican
Ulysses S.,Grant,"December 5, 1870",written,8743,SOTU,su1870.txt,Republican
Ulysses S.,Grant,"December 4, 1871",written,6459,SOTU,su1871.txt,Republican
Ulysses S.,Grant,"December 2, 1872",written,10102,SOTU,su1872.txt,Republican
Ulysses S.,Grant,"December 1, 1873",written,10026,SOTU,su1873.txt,Republican
Ulysses S.,Grant,"December 7, 1874",written,9819,SOTU,su1874.txt,Republican
Ulysses S.,Grant,"December 7, 1875",written,12211,SOTU,su1875.txt,Republican
Ulysses S.,Grant,"December 5, 1876",written,6799,SOTU,su1876.txt,Republican
Rutherford B.,Hayes,"December 3, 1877",written,10724,SOTU,su1877.txt,Republican
Rutherford B.,Hayes,"December 2, 1878",written,7879,SOTU,su1878.txt,Republican
Rutherford B.,Hayes,"December 1, 1879",written,11635,SOTU,su1879.txt,Republican
Rutherford B.,Hayes,"December 6, 1880",written,13347,SOTU,su1880.txt,Republican
Chester,Arthur,"December 6, 1881",written,13321,SOTU,su1881.txt,Republican
Chester,Arthur,"December 4, 1882",written,10274,SOTU,su1882.txt,Republican
Chester,Arthur,"December 4, 1883",written,8363,SOTU,su1883.txt,Republican
Chester,Arthur,"December 1, 1884",written,8917,SOTU,su1884.txt,Republican
Grover,Cleveland,"December 8, 1885",written,19960,SOTU,su1885.txt,Democratic
Grover,Cleveland,"December 6, 1886",written,15285,SOTU,su1886.txt,Democratic
Grover,Cleveland,"December 6, 1887",written,5290,SOTU,su1887.txt,Democratic
Grover,Cleveland,"December 3, 1888",written,13226,SOTU,su1888.txt,Democratic
Benjamin,Harrison,"December 1, 1889",written,13004,SOTU,su1889.txt,Republican
Benjamin,Harrison,"December 1, 1890",written,11522,SOTU,su1890.txt,Republican
Benjamin,Harrison,"December 9, 1891",written,16306,SOTU,su1891.txt,Republican
Benjamin,Harrison,"December 6, 1892",written,13680,SOTU,su1892.txt,Republican
Grover,Cleveland,"December 4, 1893",written,12282,SOTU,su1893.txt,Democratic
Grover,Cleveland,"December 3, 1894",written,15892,SOTU,su1894.txt,Democratic
Grover,Cleveland,"December 2, 1895",written,14670,SOTU,su1895.txt,Democratic
Grover,Cleveland,"December 7, 1896",written,15453,SOTU,su1896.txt,Democratic
William,McKinley,"December 6, 1897",written,12113,SOTU,su1897.txt,Republican
William,McKinley,"December 5, 1898",written,20224,SOTU,su1898.txt,Republican
William,McKinley,"December 5, 1899",written,22831,SOTU,su1899.txt,Republican
William,McKinley,"December 3, 1900",written,19142,SOTU,su1900.txt,Republican
Theodore,Roosevelt,"December 3, 1901",written,19616,SOTU,su1901.txt,Republican
Theodore,Roosevelt,"December 5, 1902",written,9782,SOTU,su1902.txt,Republican
Theodore,Roosevelt,"December 7, 1903",written,14943,SOTU,su1903.txt,Republican
Theodore,Roosevelt,"December 6, 1904",written,17415,SOTU,su1904.txt,Republican
Theodore,Roosevelt,"December 5, 1905",written,25071,SOTU,su1905.txt,Republican
Theodore,Roosevelt,"December 3, 1906",written,23609,SOTU,su1906.txt,Republican
Theodore,Roosevelt,"December 3, 1907",written,27397,SOTU,su1907.txt,Republican
Theodore,Roosevelt,"December 8, 1908",written,19411,SOTU,su1908.txt,Republican
William Howard,Taft,"December 7, 1909",written,13901,SOTU,su1909.txt,Republican
William Howard,Taft,"December 6, 1910",written,27651,SOTU,su1910.txt,Republican
William Howard,Taft,"December 5, 1911",written,23744,SOTU,su1911.txt,Republican
William Howard,Taft,"December 3, 1912",written,25161,SOTU,su1912.txt,Republican
Woodrow,Wilson,"December 2, 1913",spoken,3553,SOTU,su1913.txt,Democratic
Woodrow,Wilson,"December 8, 1914",spoken,4537,SOTU,su1914.txt,Democratic
Woodrow,Wilson,"December 7, 1915",spoken,7687,SOTU,su1915.txt,Democratic
Woodrow,Wilson,"December 5, 1916",spoken,2118,SOTU,su1916.txt,Democratic
Woodrow,Wilson,"December 4, 1917",spoken,3913,SOTU,su1917.txt,Democratic
Woodrow,Wilson,"December 2, 1918",spoken,5463,SOTU,su1918.txt,Democratic
Woodrow,Wilson,"December 2, 1919",written,4756,SOTU,su1919.txt,Democratic
Woodrow,Wilson,"December 7, 1920",written,2706,SOTU,su1920.txt,Democratic
Warren G.,Harding,"December 6, 1921",spoken,5606,SOTU,su1921.txt,Republican
Warren G.,Harding,"December 8, 1922",spoken,5748,SOTU,su1922.txt,Republican
Calvin,Coolidge,"December 6, 1923",spoken,6706,SOTU,su1923.txt,Republican
Calvin,Coolidge,"December 3, 1924",written,6968,SOTU,su1924.txt,Republican
Calvin,Coolidge,"December 8, 1925",written,10848,SOTU,su1925.txt,Republican
Calvin,Coolidge,"December 7, 1926",written,10305,SOTU,su1926.txt,Republican
Calvin,Coolidge,"December 6, 1927",written,8777,SOTU,su1927.txt,Republican
Calvin,Coolidge,"December 4, 1928",written,8061,SOTU,su1928.txt,Republican
Herbert,Hoover,"December 3, 1929",written,10994,SOTU,su1929.txt,Republican
Herbert,Hoover,"December 5, 1930",written,4536,SOTU,su1930.txt,Republican
Herbert,Hoover,"December 8, 1931",written,5682,SOTU,su1931.txt,Republican
Herbert,Hoover,"December 6, 1932",written,4201,SOTU,su1932.txt,Republican
Franklin D.,Roosevelt,"January 3, 1934",spoken,2230,SOTU,su1934.txt,Democratic
Franklin D.,Roosevelt,"January 4, 1935",spoken,3525,SOTU,su1935.txt,Democratic
Franklin D.,Roosevelt,"January 3, 1936",spoken,3826,SOTU,su1936.txt,Democratic
